date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-18 00:00:00,-12.3,-15.1,-7,0,19,,5.4,,1031.6,
2023-01-19 00:00:00,-11.1,-15,-5.4,0,19,,6.2,,1029.4,
2023-01-20 00:00:00,-9.1,-12.9,-3,0,19,,5.6,,1033.2,
2023-01-21 00:00:00,-8.3,-17,-3.3,0,19,,7.4,,1035.3,
2023-01-22 00:00:00,-10.2,-16,-4.7,0,18,,7.8,,1036,
2023-01-23 00:00:00,-10.3,-13.9,-6,0,18,,6.2,,1030.2,
2023-01-24 00:00:00,-7.8,-12.4,-2.5,0,18,,6.4,,1028.8,
2023-01-25 00:00:00,-8.2,-11.4,-0.8,0,18,,6,,1031.4,
2023-01-26 00:00:00,-8.5,-11.3,-5,0,18,,6.6,,1032.2,
2023-01-27 00:00:00,-7.1,-10.5,0.5,0,17,,5,,1030.8,
2023-01-28 00:00:00,-6.7,-10.8,-1.7,0,18,,6.4,,1024.7,
2023-01-29 00:00:00,-1,-8.5,4.2,0,18,,7,,1020,
2023-01-30 00:00:00,-4.3,-7.5,1.5,0,17,,5.2,,1019.1,
2023-01-31 00:00:00,0.2,-7,8.8,0.2,17,,5.9,,1020.1,
2023-02-01 00:00:00,-1.1,-10,5,0.1,17,,6.2,,1018.9,
2023-02-02 00:00:00,-4.7,-9,-1,0.7,,,7.4,,1013.8,
2023-02-03 00:00:00,3.3,0,7.5,1.8,,,7.8,,1016.6,
2023-02-04 00:00:00,2.2,0.2,6.5,4.2,14,,10,,1020.5,
2023-02-05 00:00:00,0.3,-4.4,4.9,0.6,12,,14.7,,1018.2,
2023-02-06 00:00:00,0.4,-2.8,6,0,11,,7.8,,1020.3,
2023-02-07 00:00:00,-0.3,-3,7.3,0,11,,7.2,,1023.5,
2023-02-08 00:00:00,-2.5,-5.3,0.5,0,11,,7.3,,1013.2,
2023-02-09 00:00:00,1.4,-4,7.5,1.3,10,,9.6,,1005,
