date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-12-01 00:00:00,0.3,-3,5.5,2.7,,,14,,1024.2,
2022-12-02 00:00:00,-3.8,-7,-0.5,0.3,4,,6.9,,1027.4,
2022-12-03 00:00:00,-4.8,-7.5,0.5,0,,,8.4,,1025.8,
2022-12-04 00:00:00,-5.6,-8,-1.6,0,4,,10.8,,1027,
2022-12-05 00:00:00,-6.1,-9,-4.2,0.8,4,,4.4,,1029.2,
2022-12-06 00:00:00,-5.6,-6.1,-4,0.3,,,5.6,,1030.9,
2022-12-07 00:00:00,-5.3,-6,-4.3,0,,,6,,1028.6,
2022-12-08 00:00:00,-5.5,-6,-4,0.4,5,,7.9,,1026.9,
2022-12-09 00:00:00,-8.6,-11,-5.9,5,,,9,,1032,
2022-12-10 00:00:00,-11.2,-13.8,-7.5,0,,,6.6,,1038.8,
2022-12-11 00:00:00,-10.3,-13.8,-4.5,0,7,,4.2,,1036.1,
2022-12-12 00:00:00,-10,-12.6,-5,0,7,,5.4,,1031.8,
2022-12-13 00:00:00,-8.6,-11.5,-3.1,0,6,,4.2,,1029.9,
2022-12-14 00:00:00,-5.3,-10,2.5,0,5,,6.7,,1028.6,
2022-12-15 00:00:00,-6.2,-9.8,-1,0,5,,4.8,,1030.8,
2022-12-16 00:00:00,-1.3,-7.1,4.3,0,5,,6,,1026.6,
2022-12-17 00:00:00,1.8,-7,9.8,0,5,,9.5,,1024.5,
2022-12-18 00:00:00,-3.2,-8,1.5,0,5,,5.7,,1031.5,
2022-12-19 00:00:00,-4.3,-7,1.5,0,5,,4.7,,1029.6,
2022-12-20 00:00:00,-0.3,-7.8,4.3,0,5,,5.4,,1022.4,
2022-12-21 00:00:00,-0.1,-10,5.3,0.2,5,,9.5,,1022.5,
2022-12-22 00:00:00,-4.7,-9,-2.5,1,,,7,,1031.3,
2022-12-23 00:00:00,-6.9,-7.8,-5.9,0.4,,,6.1,,1034.9,
2022-12-24 00:00:00,-7.5,-10,-2.5,0,7,,6,,1032.3,
2022-12-25 00:00:00,-7.9,-10.2,-2.9,0,7,,5,,1026.8,
2022-12-26 00:00:00,-6.9,-10.2,-1.7,0,7,,5.6,,1024.4,
2022-12-27 00:00:00,-1.4,-7.6,7,0,7,,5.1,,1023.9,
2022-12-28 00:00:00,-0.4,-4.5,5.9,0,7,,6,,1022.5,
2022-12-29 00:00:00,-0.5,-7,3.5,0,7,,6.4,,1024.2,
2022-12-30 00:00:00,0.1,-3,1.9,4.2,,,9.5,,1031.6,
2022-12-31 00:00:00,0.3,-2.2,5,3,8,,5.9,,1031.1,
2023-01-01 00:00:00,-4.2,-9,-2.4,8.3,25,,9.2,,1034.2,
2023-01-02 00:00:00,-3.3,-7.5,1.7,0,25,,5.6,,1028,
2023-01-03 00:00:00,-1.5,-5.2,1.5,0.3,19,,9.2,,1020.4,
2023-01-04 00:00:00,0.9,-1.5,2.9,14.4,,,12.6,,1026.8,
2023-01-05 00:00:00,-0.6,-6,3.6,0,22,,10,,1022.4,
2023-01-06 00:00:00,5.8,-3,14.4,0.8,20,,6.9,,1018.2,
2023-01-07 00:00:00,2.8,-2,7,0.6,,,6.8,,1019.8,
2023-01-08 00:00:00,4.4,0,11,0,14,,8.2,,1015.6,
2023-01-09 00:00:00,2.6,0,6,6.3,,,11.4,,1020.7,
2023-01-10 00:00:00,-4.1,-6,-0.4,9.7,,,14,,1021.9,
2023-01-11 00:00:00,-13.4,-16,-10.4,7.8,,,10.8,,1033.7,
2023-01-12 00:00:00,-16.6,-22,-13.3,0.3,,,7.5,,1046.8,
2023-01-13 00:00:00,-16.8,-19.4,-11.2,0,23,,5.5,,1045.2,
2023-01-14 00:00:00,-16.3,-19.2,-10.4,0,21,,5.1,,1042.9,
2023-01-15 00:00:00,-14.9,-18.1,-9.7,0,20,,4.6,,1039,
2023-01-16 00:00:00,-13.1,-16.2,-7.5,0,19,,5.6,,1034.2,
2023-01-17 00:00:00,-11.3,-14.6,-4.8,0,19,,6.4,,1033.1,
