date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-12-01 00:00:00,3.4,3,4.6,0,,,4.8,,1026.3,
2023-12-02 00:00:00,7.4,1,12.7,0,,,6.8,,1023.1,
2023-12-03 00:00:00,9.7,4.5,16.5,0,,,5.4,,1022,
2023-12-04 00:00:00,7.4,4,12,0,,,11.9,,1026.8,
2023-12-05 00:00:00,4.8,2.5,9.2,0,,,6.4,,1023.1,
2023-12-06 00:00:00,8.9,0,16.7,0,,,6.8,,1017.3,
2023-12-07 00:00:00,0.6,-1,3,1.1,,,8.9,,1022.6,
2023-12-08 00:00:00,-3.2,-5,-1.5,1.6,,,8.4,,1019.3,
2023-12-09 00:00:00,-3.8,-5.5,-1.4,4.4,,,4.4,,1027.5,
2023-12-10 00:00:00,-5.6,-6.7,-4.3,0.3,7,,8.6,,1027.4,
2023-12-11 00:00:00,-5.7,-8,-3,2.6,,,7,,1016.5,
2023-12-12 00:00:00,-14.6,-21,-9.9,8.9,,,7,,1029.1,
2023-12-13 00:00:00,-19.3,-20.9,-15,0,19,,5,,1044.4,
2023-12-14 00:00:00,-15.8,-20.5,-10.3,0,15,,5,,1038.3,
2023-12-15 00:00:00,-11.4,-15.7,-7.7,0,14,,7.4,,1025.1,
2023-12-16 00:00:00,-5.6,-12,-2,15.9,12,,5,,1025.4,
2023-12-17 00:00:00,-2.6,-5,-0.9,1.3,,,6.4,,1030.4,
2023-12-18 00:00:00,-2.9,-4.4,0.9,0,17,,3.8,,1025.8,
2023-12-19 00:00:00,2.3,-4.6,7.2,0.3,16,,11.6,,1024.9,
2023-12-20 00:00:00,-1.2,-5,1.5,1.6,13,,9.5,,1031.4,
2023-12-21 00:00:00,-3.6,-5.9,-0.4,0,16,,7.4,,1035.3,
2023-12-22 00:00:00,-1.2,-5.5,7.7,0,16,,7.7,,1023.5,
2023-12-23 00:00:00,4.1,-3.9,11.7,0,15,,6.6,,1015.5,
2023-12-24 00:00:00,7.1,0.5,14.5,0,13,,7.3,,1015.9,
2023-12-25 00:00:00,5.5,2.8,11.4,0,12,,6.6,,1018.1,
2023-12-26 00:00:00,4.4,0,8.9,8.1,10,,12.3,,1018.9,
2023-12-27 00:00:00,2.7,0.5,6.7,7.3,9,,14.7,,1019.9,
2023-12-28 00:00:00,4,3,9.7,3.8,,,18.6,,1023.8,
2023-12-29 00:00:00,2.1,-1,8,7.4,3,,15,,1017.2,
2023-12-30 00:00:00,-2.3,-5,-0.9,1.1,,,8,,1030.2,
2023-12-31 00:00:00,-0.7,-4,4,0,10,,7.8,,1027,
2024-01-01 00:00:00,-0.2,-2.8,5.2,0,10,,6,,1021.5,
2024-01-02 00:00:00,3.6,-2,10.7,0,7,,9.6,,1021.2,
2024-01-03 00:00:00,-1.3,-4,3.2,0,5,,8.5,,1024.8,
2024-01-04 00:00:00,-0.7,-5.4,3.7,0,4,,7.8,,1017.1,
2024-01-05 00:00:00,4,-0.3,9.7,0,3,,6.3,,1016.6,
2024-01-06 00:00:00,4.3,1,9.6,0,3,,8.4,,1018.2,
2024-01-07 00:00:00,4.2,1.5,9.4,0,3,,5.7,,1018,
2024-01-08 00:00:00,5.1,0,8.3,0.6,,,12.2,,1019.8,
2024-01-09 00:00:00,4.8,0.5,10.8,0,1,,6.4,,1017.3,
2024-01-10 00:00:00,6.4,2,11.2,0.4,,,9.3,,1010,
2024-01-11 00:00:00,2.7,-1,7.2,8.9,,,10.5,,1012.5,
2024-01-12 00:00:00,-2.6,-6.5,-0.1,3.3,,,8.6,,1022.2,
