date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-13 00:00:00,4.4,-2.8,9.7,0,3,,10.6,,1008.9,
2024-01-14 00:00:00,4.8,0,11.3,0,2,,10,,1014.5,
2024-01-15 00:00:00,-5.9,-8,-2.4,4,,,12.8,,1022.7,
2024-01-16 00:00:00,-6.9,-8,-5.6,0.2,,,7.4,,1024.7,
2024-01-17 00:00:00,-7.4,-11,-4,6.1,,,8,,1028,
2024-01-18 00:00:00,-7.6,-10.9,-2.7,0,18,,3.9,,1027,
2024-01-19 00:00:00,-1.5,-8.6,5.2,0,16,,6.6,,1025,
2024-01-20 00:00:00,-6,-9,-3,3.8,,,10.8,,1029,
2024-01-21 00:00:00,-9.4,-11,-7.5,0.6,,,10.5,,1030.5,
2024-01-22 00:00:00,-8.2,-11.7,-3.1,0.1,,,6,,1028.2,
2024-01-23 00:00:00,-2.7,-10.7,3.4,0,17,,6.3,,1025.5,
2024-01-24 00:00:00,-1.4,-11,2.7,0,17,,6.1,,1024.7,
2024-01-25 00:00:00,0.1,-4.5,6.1,0,13,,6.8,,1016.2,
2024-01-26 00:00:00,-1.4,-4,3,4,,,12.3,,1024.5,
2024-01-27 00:00:00,-4.2,-5.8,-1.4,0,,,7,,1025.5,
2024-01-28 00:00:00,-5.4,-6,-3.5,0,16,,8.1,,1018,
2024-01-29 00:00:00,-5.2,-6,-4,1.5,,,6.6,,1016.1,
2024-01-30 00:00:00,0.1,-3.4,4.2,4.5,,,7.4,,1022.2,
2024-01-31 00:00:00,-1.9,-5,0.9,3.1,,,7.2,,1023.2,
2024-02-01 00:00:00,-3.4,-6.3,-0.5,0.5,,,10.4,,1021.2,
2024-02-02 00:00:00,-5.1,-8,-1,1.2,,,9.3,,1026.6,
2024-02-03 00:00:00,-6.5,-10.6,-1.6,0,27,,7,,1015.3,
2024-02-04 00:00:00,-1.9,-6.9,5.5,0,22,,7.6,,1019.7,
2024-02-05 00:00:00,-2.7,-5.3,4,0,20,,5.1,,1023.2,
2024-02-06 00:00:00,-0.9,-5.9,6.4,0,19,,5.9,,1017.4,
2024-02-07 00:00:00,2.4,-3.3,8.4,0.5,18,,10.4,,1012.7,
2024-02-08 00:00:00,3.8,-0.5,6.7,12,,,9.6,,1023.7,
2024-02-09 00:00:00,2.6,-1,9.5,0,14,,9.5,,1022,
