date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2025-12-01 00:00:00,-0.1,-2.8,5.3,0,,,3.2,,1025.1,
2025-12-02 00:00:00,1.5,-1.4,6,0,,,5.1,,1022,
2025-12-03 00:00:00,4.9,-0.8,10.2,0,,,3,,1020.9,
2025-12-04 00:00:00,4.5,2.2,9.2,0,,,4.2,,1022.8,
2025-12-05 00:00:00,4.1,1.7,8.7,0,,,3.5,,1026.9,
2025-12-06 00:00:00,1.9,-0.3,5.6,0,,,3.9,,1029,
2025-12-07 00:00:00,1.2,-1.2,3.2,0,,,2.5,,1024.5,
2025-12-08 00:00:00,2.4,0.8,3.1,5,,,7.2,,1020.9,
2025-12-09 00:00:00,1.4,-0.8,3.9,0.5,,,9.1,,1021.8,
2025-12-10 00:00:00,-5.8,-10.9,-1.3,13.7,,,10.7,,1031.2,
2025-12-11 00:00:00,-8.9,-11.8,-5.9,0,17,,4.8,,1034.7,
2025-12-12 00:00:00,0.5,-5.7,5.8,0,16,,5.7,,1017.4,
2025-12-13 00:00:00,5.3,1.8,9.7,0,10,,9,,1013.5,
2025-12-14 00:00:00,4.7,3.5,8,0,5,,8.3,,1012.8,
2025-12-15 00:00:00,0.1,-3,5.9,6.9,,,10.2,,1022.3,
2025-12-16 00:00:00,-0.2,-3.6,2.2,0,,,4.8,,1024.1,
2025-12-17 00:00:00,2.2,-1.1,6.3,2,3,,6.1,,1022,
2025-12-18 00:00:00,-1.6,-2.2,-0.7,8.9,,,2.9,,1027,
2025-12-19 00:00:00,-1.6,-2.8,-0.4,3.7,,,5,,1030.8,
2025-12-20 00:00:00,1.1,-2.9,2.7,0,15,,4.9,,1015.8,
2025-12-21 00:00:00,-0.2,-1.6,0.7,4.5,,,1.2,,1021.8,
2025-12-22 00:00:00,-1.2,-2.6,1.4,0.4,,,2.7,,1029.8,
2025-12-23 00:00:00,-3.4,-3.9,-3,0,12,,5.6,,1026.7,
2025-12-24 00:00:00,-2.2,-4,1.3,0,,,5.5,,1025.8,
2025-12-25 00:00:00,0.3,-3.9,3.8,0,11,,5.1,,1018.1,
2025-12-26 00:00:00,2.1,-0.6,4.2,1.8,10,,6.5,,1018.2,
2025-12-27 00:00:00,-0.8,-2,0.3,0.2,,,8.5,,1021.2,
2025-12-28 00:00:00,0.3,-2.1,2.1,0,6,,4.8,,1015.6,
2025-12-29 00:00:00,4,1.1,10.8,0,5,,5,,1012.6,
2025-12-30 00:00:00,5.7,1.4,10.2,0,5,,8.3,,1005.9,
2025-12-31 00:00:00,6.5,1.2,10.9,0.1,5,,8,,1010.4,
2026-01-01 00:00:00,-0.1,-0.7,0.6,7.6,,,6.7,,1022.8,
2026-01-02 00:00:00,-0.6,-1.1,0,0,,,5.2,,1019.8,
2026-01-03 00:00:00,2.8,-0.8,8.6,0,4,,5,,1021.4,
2026-01-04 00:00:00,2.1,-0.4,5.2,0,2,,7.9,,1027.2,
2026-01-05 00:00:00,-0.8,-1.4,-0.2,0,1,,8.8,,1035.6,
2026-01-06 00:00:00,-0.8,-3,3,0,,,6.4,,1031.5,
