date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-12-01 00:00:00,2.5,0,4,12.4,,,7.4,,1024.6,
2024-12-02 00:00:00,2.6,0.7,4.5,1.2,,,6.2,,1027.8,
2024-12-03 00:00:00,2.9,1,6.2,0,,,6.2,,1029.7,
2024-12-04 00:00:00,-0.1,-1,3.5,0,,,6.3,,1029.8,
2024-12-05 00:00:00,-0.7,-4.2,3.6,0,,,5,,1024.9,
2024-12-06 00:00:00,-2.3,-6,1,0,,,7,,1027.8,
2024-12-07 00:00:00,-3,-4,-2,1,,,8,,1028.6,
2024-12-08 00:00:00,-4.7,-7,-2,6.4,,,6.6,,1036.5,
2024-12-09 00:00:00,-8.9,-12,-5,1.5,,,5.9,,1042.5,
2024-12-10 00:00:00,-9.6,-12,-6.5,,9,,8.8,,1040.6,
2024-12-11 00:00:00,-10.7,-14,-5,,9,,6.2,,1042.4,
2024-12-12 00:00:00,-7.9,-13.4,0.5,,9,,6.3,,1035.6,
2024-12-13 00:00:00,-4.2,-11.3,2.7,,5,,5.6,,1023.5,
2024-12-14 00:00:00,0.5,-5.3,4,0,5,,8.9,,1015.4,
2024-12-15 00:00:00,0,-5,7,9.6,5,,14.8,,1018.5,
2024-12-16 00:00:00,-8.8,-14,-5.2,5.6,,,8.4,,1042,
2024-12-17 00:00:00,-8.9,-14.3,-2.9,0,21,,5.9,,1024.9,
2024-12-18 00:00:00,-2.3,-9.5,5.5,0,14,,7.3,,1019.2,
2024-12-19 00:00:00,-0.1,-5,4.2,0,12,,7.8,,1014.6,
2024-12-20 00:00:00,-0.8,-4,2,4.3,11,,12.8,,1021,
2024-12-21 00:00:00,-5.4,-11,-1.2,0,,,7.7,,1027.4,
2024-12-22 00:00:00,-8.8,-11.8,-2,0,23,,6,,1030.8,
2024-12-23 00:00:00,-7.9,-12,-1.9,0,21,,4.3,,1028.6,
2024-12-24 00:00:00,-6.2,-9.9,-0.1,0,21,,6.4,,1029.3,
2024-12-25 00:00:00,-6.8,-10,-1.7,0,20,,5.4,,1029.2,
2024-12-26 00:00:00,-4,-10,2.5,0,18,,5.7,,1027.4,
2024-12-27 00:00:00,1.3,-4.5,8,0,18,,5.9,,1027.3,
2024-12-28 00:00:00,-1.3,-8,4.5,0,18,,6,,1028.5,
2024-12-29 00:00:00,-1.4,-5.5,5.4,0,17,,6.6,,1019.4,
2024-12-30 00:00:00,4.1,-2.7,10.3,0.1,17,,8.8,,1019.3,
2024-12-31 00:00:00,1.7,-3,3.5,0,15,,8.4,,1024.1,
2025-01-01 00:00:00,-1.1,-3.8,1.6,0,14,,8.8,,1023.8,
2025-01-02 00:00:00,-0.3,-3.5,2.7,0.1,13,,6,,1026.3,
2025-01-03 00:00:00,-1.3,-11,3.7,0,13,,6.2,,1028.4,
2025-01-04 00:00:00,-3.4,-10,2.5,0,13,,8.6,,1021.3,
2025-01-05 00:00:00,-2.7,-6.9,0.2,0,13,,12.2,,1024,
2025-01-06 00:00:00,-0.1,-4.1,3.5,0.5,13,,5.7,,1027.5,
2025-01-07 00:00:00,-1.8,-4.8,1.7,2.4,13,,6.9,,1024.5,
2025-01-08 00:00:00,-3.4,-6,-0.5,7.6,,,11.1,,1034.7,
2025-01-09 00:00:00,-6.4,-8.9,-1.5,0,29,,6,,1042.7,
2025-01-10 00:00:00,-6.2,-10,0.5,0,29,,6.7,,1033.2,
2025-01-11 00:00:00,-5,-8.9,2.1,0,27,,6.6,,1029.3,
2025-01-12 00:00:00,-4.9,-8.3,1.5,0,23,,5.2,,1027.5,
2025-01-13 00:00:00,-4.4,-8.2,1.7,0,21,,5.9,,1025.9,
2025-01-14 00:00:00,-2.3,-7.6,4.8,0,21,,4.6,,1023.7,
2025-01-15 00:00:00,2.9,-3.2,10.7,0,21,,5.1,,1022.6,
2025-01-16 00:00:00,1.6,-2.2,9.2,0,20,,7.5,,1021.4,
2025-01-17 00:00:00,0.8,-3,5.5,0,19,,6,,1019.2,
2025-01-18 00:00:00,0.3,-2,4,0,19,,6,,1018,
2025-01-19 00:00:00,-1.4,-5,1.8,0,19,,7,,1019.6,
2025-01-20 00:00:00,-0.3,-2.7,2,0.2,19,,6.9,,1017.3,
2025-01-21 00:00:00,2.2,-2,6.5,0,19,,7.7,,1014.9,
2025-01-22 00:00:00,-1.5,-8,4,11.2,,,13.8,,1019.1,
2025-01-23 00:00:00,-7.9,-12,-3.4,1.2,,,11.2,,1037.4,
2025-01-24 00:00:00,-14,-18.1,-10.5,0.1,,,8.7,,1046.5,
2025-01-25 00:00:00,-9.3,-15.8,-2.5,0,30,,5.2,,1033.4,
2025-01-26 00:00:00,-5.7,-11.5,0.5,0,28,,5.7,,1025.4,
2025-01-27 00:00:00,1.6,-5.8,8.7,0,27,,4.8,,1026.2,
2025-01-28 00:00:00,-1.2,-4.3,5,0,24,,6.4,,1023.3,
2025-01-29 00:00:00,-0.6,-4.4,3,0,22,,8.2,,1022.8,
2025-01-30 00:00:00,-0.3,-2,3.2,8.9,,,9.5,,1026.8,
2025-01-31 00:00:00,-1.8,-5,0.8,7.2,35,,11,,1029.2,
2025-02-01 00:00:00,-5.2,-10,-1,1.2,34,,9.9,,1032.9,
2025-02-02 00:00:00,-7.5,-10,-1.5,0,33,,4.8,,1031.4,
2025-02-03 00:00:00,-7.7,-11,-0.5,0,31,,5.4,,1028.7,
2025-02-04 00:00:00,-7,-11.5,-0.4,0,31,,6.1,,1022.9,
2025-02-05 00:00:00,-6.2,-10.6,0.5,0,31,,5.4,,1023.8,
2025-02-06 00:00:00,-3.7,-10.2,4.5,0,30,,5.7,,1024.2,
2025-02-07 00:00:00,-2.1,-6.3,7,0,30,,5.4,,1021.6,
2025-02-08 00:00:00,-2.4,-5.8,3.6,0,29,,6.6,,1021,
2025-02-09 00:00:00,-1.2,-6.4,3.7,0,29,,5.9,,1022.7,
